71,10324,2006-10-08 00:00:00.000,9
71,10393,2006-12-25 00:00:00.000,1
71,10398,2006-12-30 00:00:00.000,2
71,10440,2007-02-10 00:00:00.000,4
71,10452,2007-02-20 00:00:00.000,8
71,10510,2007-04-18 00:00:00.000,6
71,10555,2007-06-02 00:00:00.000,6
71,10603,2007-07-18 00:00:00.000,8
71,10607,2007-07-22 00:00:00.000,5
71,10612,2007-07-28 00:00:00.000,1
71,10627,2007-08-11 00:00:00.000,8
71,10657,2007-09-04 00:00:00.000,2
71,10678,2007-09-23 00:00:00.000,7
71,10700,2007-10-10 00:00:00.000,3
71,10711,2007-10-21 00:00:00.000,5
71,10713,2007-10-22 00:00:00.000,1
71,10714,2007-10-22 00:00:00.000,5
71,10722,2007-10-29 00:00:00.000,8
71,10748,2007-11-20 00:00:00.000,3
71,10757,2007-11-27 00:00:00.000,6
71,10815,2008-01-05 00:00:00.000,2
71,10847,2008-01-22 00:00:00.000,4
71,10882,2008-02-11 00:00:00.000,4
71,10894,2008-02-18 00:00:00.000,1
71,10941,2008-03-11 00:00:00.000,7
71,10983,2008-03-27 00:00:00.000,2
71,10984,2008-03-30 00:00:00.000,1
71,11002,2008-04-06 00:00:00.000,4
71,11030,2008-04-17 00:00:00.000,7
71,11031,2008-04-17 00:00:00.000,6
71,11064,2008-05-01 00:00:00.000,1
